employment_income,amt_minus_basic_0,amt_minus_basic_1,amt_minus_basic_2,amt_minus_basic_3,amt_minus_basic_4,amt_minus_basic_5,amt_minus_basic_6,amt_minus_basic_7
238000.0,-5041.667,-3266.3135,-2661.713,-2056.1128,-1450.5132,-845.9131,-240.31299,364.2871
240000.0,-5195.377,-3378.3926,-2772.793,-2167.1929,-1562.5928,-956.99316,-352.39307,253.20703
242000.0,-5350.087,-3489.4727,-2883.873,-2279.2734,-1673.6729,-1068.0732,-463.47314,142.12695
244000.0,-5504.797,-3638.4375,-2995.9531,-2390.3525,-1784.7529,-1180.1528,-574.5532,30.046875
246000.0,-5659.507,-3793.1475,-3107.0332,-2501.4326,-1896.833,-1291.2329,-685.6328,-81.0332
248000.0,-5814.217,-3947.8574,-3249.5322,-2613.5127,-2007.9131,-1402.313,-797.7129,-192.1128
250000.0,-5968.9277,-4102.5674,-3404.2422,-2724.5928,-2118.9932,-1514.3926,-908.79297,-304.19287
252000.0,-6123.6377,-4257.2773,-3558.9521,-2859.627,-2231.0732,-1625.4727,-1019.87305,-415.27295
254000.0,-6278.3477,-4411.9873,-3713.662,-3014.337,-2342.1533,-1736.5527,-1131.9531,-526.353
256000.0,-6433.0576,-4566.6973,-3867.372,-3169.0469,-2470.7227,-1848.6328,-1243.0332,-638.4331
258000.0,-6587.7676,-4735.3936,-4050.0557,-3365.7168,-2681.378,-2019.9727,-1427.4248,-833.87695
260000.0,-6742.4775,-4890.1035,-4204.7656,-3520.4268,-2836.088,-2150.75,-1538.5049,-945.95703
262000.0,-6897.1875,-5058.8,-4387.448,-3717.0967,-3046.7441,-2375.3926,-1722.8975,-1141.4014
264000.0,-7051.8975,-5227.497,-4570.131,-3913.7656,-3257.4004,-2600.0352,-1943.669,-1337.8447
266000.0,-7206.6074,-5396.1934,-4752.8145,-4110.4355,-3467.0566,-2824.6777,-2182.2979,-1538.919
268000.0,-7361.3174,-5564.8896,-4935.497,-4307.1045,-3677.712,-3049.3193,-2420.9277,-1791.5352
270000.0,-7543.997,-5718.5996,-5090.207,-4461.8145,-3832.4219,-3204.0293,-2574.6377,-1946.2451
272000.0,-7780.907,-5887.296,-5272.8906,-4658.4844,-4043.0781,-3428.6719,-2813.2666,-2198.8604
274000.0,-8017.8174,-6055.993,-5455.573,-4855.1533,-4253.7344,-3653.3145,-3051.8955,-2451.4756
276000.0,-8254.728,-6224.6895,-5638.256,-5050.823,-4464.3906,-3877.957,-3290.5244,-2704.0908
278000.0,-8491.638,-6393.3857,-5820.9395,-5247.493,-4675.046,-4101.5996,-3529.1533,-2956.707
280000.0,-8729.547,-6548.0957,-5975.6494,-5402.203,-4829.756,-4256.3096,-3683.8633,-3111.417
282000.0,-8966.457,-6716.792,-6158.332,-5598.872,-5040.412,-4480.952,-3922.4922,-3363.0322
284000.0,-9203.367,-6885.4883,-6341.0156,-5795.542,-5251.0684,-4705.5947,-4161.121,-3615.6475
286000.0,-9440.277,-7054.1855,-6523.698,-5992.211,-5461.7246,-4930.2373,-4399.75,-3868.2637
288000.0,-9677.1875,-7222.882,-6705.381,-6188.881,-5671.38,-5154.88,-4637.379,-4120.879
